,Unnamed: 0,timestamp,pixel_count,dt
0,0,2022-10-26 01:00:00,7,1666771200
1,1,2022-10-26 01:16:00,5,1666772160
2,2,2022-10-26 01:31:00,5,1666773060
3,3,2022-10-26 01:46:00,5,1666773960
4,4,2022-10-26 02:01:00,5,1666774860
5,5,2022-10-26 02:16:00,5,1666775760
6,6,2022-10-26 02:31:00,5,1666776660
7,7,2022-10-26 02:46:00,5,1666777560
8,8,2022-10-26 03:01:00,5,1666778460
9,9,2022-10-26 03:16:00,5,1666779360
10,10,2022-10-26 03:31:00,5,1666780260
11,11,2022-10-26 03:46:00,5,1666781160
12,12,2022-10-26 04:01:00,5,1666782060
13,13,2022-10-26 04:16:00,5,1666782960
14,14,2022-10-26 04:31:00,5,1666783860
15,15,2022-10-26 04:46:00,5,1666784760
16,16,2022-10-26 05:01:00,5,1666785660
17,17,2022-10-26 05:16:00,5,1666786560
18,18,2022-10-26 05:31:00,5,1666787460
19,19,2022-10-26 05:46:00,5,1666788360
20,20,2022-10-26 06:01:00,5,1666789260
21,21,2022-10-26 06:16:00,5,1666790160
22,22,2022-10-26 06:31:00,5,1666791060
23,23,2022-10-26 06:46:00,5,1666791960
24,24,2022-10-26 07:01:00,5,1666792860
25,25,2022-10-26 07:16:00,8,1666793760
26,26,2022-10-26 07:31:00,8,1666794660
27,27,2022-10-26 07:46:00,8,1666795560
28,28,2022-10-26 08:01:00,8,1666796460
29,29,2022-10-26 08:16:00,6,1666797360
30,30,2022-10-26 08:31:00,6,1666798260
31,31,2022-10-26 08:46:00,6,1666799160
32,32,2022-10-26 09:01:00,5,1666800060
33,33,2022-10-26 09:16:00,5,1666800960
34,34,2022-10-26 09:31:00,5,1666801860
35,35,2022-10-26 09:46:00,5,1666802760
36,36,2022-10-26 10:01:00,5,1666803660
37,37,2022-10-26 10:16:00,5,1666804560
38,38,2022-10-26 10:31:00,5,1666805460
39,39,2022-10-26 10:46:00,5,1666806360
40,40,2022-10-26 11:01:00,5,1666807260
41,41,2022-10-26 11:16:00,5,1666808160
42,42,2022-10-26 11:31:00,5,1666809060
43,43,2022-10-26 11:46:00,5,1666809960
44,44,2022-10-26 12:01:00,5,1666810860
45,45,2022-10-26 12:16:00,5,1666811760
46,46,2022-10-26 12:31:00,5,1666812660
47,47,2022-10-26 12:46:00,5,1666813560
48,48,2022-10-26 13:01:00,5,1666814460
49,49,2022-10-26 13:16:00,5,1666815360
50,50,2022-10-26 13:31:00,5,1666816260
51,51,2022-10-26 13:46:00,5,1666817160
52,52,2022-10-26 14:01:00,5,1666818060
53,53,2022-10-26 14:16:00,5,1666818960
54,54,2022-10-26 14:31:00,5,1666819860
55,55,2022-10-26 14:46:00,5,1666820760
56,56,2022-10-26 15:01:00,5,1666821660
57,57,2022-10-26 15:16:00,5,1666822560
58,58,2022-10-26 15:31:00,5,1666823460
59,59,2022-10-26 15:46:00,5,1666824360
60,60,2022-10-26 16:01:00,5,1666825260
61,61,2022-10-26 16:16:00,5,1666826160
62,62,2022-10-26 16:31:00,6,1666827060
63,63,2022-10-26 16:46:00,7,1666827960
64,64,2022-10-26 17:01:00,7,1666828860
65,65,2022-10-26 17:16:00,7,1666829760
66,66,2022-10-26 17:31:00,5,1666830660
67,67,2022-10-26 17:46:00,5,1666831560
68,68,2022-10-26 18:01:00,6,1666832460
69,69,2022-10-26 18:16:00,6,1666833360
70,70,2022-10-26 18:31:00,6,1666834260
71,71,2022-10-26 18:46:00,5,1666835160
72,72,2022-10-26 19:01:00,5,1666836060
73,73,2022-10-26 19:16:00,5,1666836960
74,74,2022-10-26 19:31:00,5,1666837860
75,75,2022-10-26 19:46:00,5,1666838760
76,76,2022-10-26 20:01:00,5,1666839660
77,77,2022-10-26 20:16:00,5,1666840560
78,78,2022-10-26 20:31:00,5,1666841460
79,79,2022-10-26 20:46:00,5,1666842360
80,80,2022-10-26 21:01:00,5,1666843260
81,81,2022-10-26 21:16:00,5,1666844160
82,82,2022-10-26 21:31:00,5,1666845060
83,83,2022-10-26 21:46:00,5,1666845960
84,84,2022-10-26 22:01:00,5,1666846860
85,85,2022-10-26 22:16:00,5,1666847760
86,86,2022-10-26 22:31:00,5,1666848660
87,87,2022-10-26 22:46:00,5,1666849560
88,88,2022-10-26 23:01:00,5,1666850460
89,89,2022-10-26 23:16:00,5,1666851360
90,90,2022-10-26 23:31:00,5,1666852260
91,91,2022-10-26 23:46:00,5,1666853160
92,92,2022-10-27 00:01:00,5,1666854060
93,93,2022-10-27 00:16:00,5,1666854960
94,94,2022-10-27 00:31:00,5,1666855860
95,95,2022-10-27 00:46:00,5,1666856760
96,96,2022-10-27 01:01:00,5,1666857660
97,97,2022-10-27 01:16:00,5,1666858560
98,98,2022-10-27 01:31:00,5,1666859460
99,99,2022-10-27 01:46:00,5,1666860360
100,100,2022-10-27 02:01:00,5,1666861260
101,101,2022-10-27 02:16:00,5,1666862160
102,102,2022-10-27 02:31:00,5,1666863060
103,103,2022-10-27 02:46:00,5,1666863960
104,104,2022-10-27 03:01:00,5,1666864860
105,105,2022-10-27 03:16:00,5,1666865760
106,106,2022-10-27 03:31:00,5,1666866660
107,107,2022-10-27 03:46:00,5,1666867560
108,108,2022-10-27 04:01:00,5,1666868460
109,109,2022-10-27 04:16:00,6,1666869360
110,110,2022-10-27 04:31:00,6,1666870260
111,111,2022-10-27 04:46:00,5,1666871160
112,112,2022-10-27 05:01:00,5,1666872060
113,113,2022-10-27 05:16:00,5,1666872960
114,114,2022-10-27 05:31:00,5,1666873860
115,115,2022-10-27 05:46:00,5,1666874760
116,116,2022-10-27 06:01:00,5,1666875660
117,117,2022-10-27 06:16:00,5,1666876560
118,118,2022-10-27 06:31:00,5,1666877460
119,119,2022-10-27 06:46:00,5,1666878360
120,120,2022-10-27 07:01:00,7,1666879260
121,121,2022-10-27 07:16:00,5,1666880160
122,122,2022-10-27 07:31:00,5,1666881060
123,123,2022-10-27 07:46:00,6,1666881960
124,124,2022-10-27 08:01:00,6,1666882860
125,125,2022-10-27 08:16:00,5,1666883760
126,126,2022-10-27 08:31:00,5,1666884660
127,127,2022-10-27 08:46:00,7,1666885560
128,128,2022-10-27 09:01:00,7,1666886460
129,129,2022-10-27 09:16:00,7,1666887360
130,130,2022-10-27 09:31:00,5,1666888260
131,131,2022-10-27 09:46:00,5,1666889160
132,132,2022-10-27 10:01:00,5,1666890060
133,133,2022-10-27 10:16:00,7,1666890960
134,134,2022-10-27 10:31:00,7,1666891860
135,135,2022-10-27 10:46:00,7,1666892760
136,136,2022-10-27 11:01:00,7,1666893660
137,137,2022-10-27 11:16:00,7,1666894560
138,138,2022-10-27 11:31:00,7,1666895460
139,139,2022-10-27 11:46:00,7,1666896360
140,140,2022-10-27 12:01:00,7,1666897260
141,141,2022-10-27 12:16:00,7,1666898160
142,142,2022-10-27 12:31:00,7,1666899060
143,143,2022-10-27 12:46:00,7,1666899960
144,144,2022-10-27 13:01:00,7,1666900860
145,145,2022-10-27 13:16:00,7,1666901760
146,146,2022-10-27 13:31:00,7,1666902660
147,147,2022-10-27 13:46:00,7,1666903560
148,148,2022-10-27 14:01:00,6,1666904460
149,149,2022-10-27 14:16:00,6,1666905360
150,150,2022-10-27 14:31:00,6,1666906260
151,151,2022-10-27 14:46:00,7,1666907160
152,152,2022-10-27 15:01:00,7,1666908060
153,153,2022-10-27 15:16:00,5,1666908960
154,154,2022-10-27 15:31:00,5,1666909860
155,155,2022-10-27 15:46:00,5,1666910760
156,156,2022-10-27 16:01:00,5,1666911660
157,157,2022-10-27 16:16:00,6,1666912560
158,158,2022-10-27 16:31:00,6,1666913460
159,159,2022-10-27 16:46:00,6,1666914360
160,160,2022-10-27 17:01:00,6,1666915260
161,161,2022-10-27 17:16:00,6,1666916160
162,162,2022-10-27 17:31:00,7,1666917060
163,163,2022-10-27 17:46:00,7,1666917960
164,164,2022-10-27 18:01:00,6,1666918860
165,165,2022-10-27 18:16:00,6,1666919760
166,166,2022-10-27 18:31:00,6,1666920660
167,167,2022-10-27 18:46:00,6,1666921560
168,168,2022-10-27 19:01:00,6,1666922460
169,169,2022-10-27 19:16:00,6,1666923360
170,170,2022-10-27 19:31:00,6,1666924260
171,171,2022-10-27 19:46:00,7,1666925160
172,172,2022-10-27 20:01:00,7,1666926060
173,173,2022-10-27 20:16:00,6,1666926960
174,174,2022-10-27 20:31:00,6,1666927860
175,175,2022-10-27 20:46:00,6,1666928760
176,176,2022-10-27 21:01:00,7,1666929660
177,177,2022-10-27 21:16:00,6,1666930560
178,178,2022-10-27 21:31:00,6,1666931460
179,179,2022-10-27 21:46:00,6,1666932360
180,180,2022-10-27 22:01:00,6,1666933260
181,181,2022-10-27 22:16:00,6,1666934160
182,182,2022-10-27 22:31:00,6,1666935060
183,183,2022-10-27 22:46:00,6,1666935960
184,184,2022-10-27 23:01:00,6,1666936860
185,185,2022-10-27 23:16:00,6,1666937760
186,186,2022-10-27 23:31:00,6,1666938660
187,187,2022-10-27 23:46:00,6,1666939560
188,188,2022-10-28 00:01:00,6,1666940460
189,189,2022-10-28 00:16:00,6,1666941360
190,190,2022-10-28 00:31:00,6,1666942260
191,191,2022-10-28 00:46:00,6,1666943160
192,192,2022-10-28 01:01:00,6,1666944060
193,193,2022-10-28 01:16:00,6,1666944960
194,194,2022-10-28 01:31:00,6,1666945860
195,195,2022-10-28 01:46:00,6,1666946760
196,196,2022-10-28 02:01:00,6,1666947660
197,197,2022-10-28 02:16:00,6,1666948560
198,198,2022-10-28 02:31:00,6,1666949460
199,199,2022-10-28 02:46:00,6,1666950360
200,200,2022-10-28 03:01:00,7,1666951260
201,201,2022-10-28 03:16:00,8,1666952160
202,202,2022-10-28 03:31:00,8,1666953060
203,203,2022-10-28 03:46:00,8,1666953960
204,204,2022-10-28 04:01:00,8,1666954860
205,205,2022-10-28 04:16:00,8,1666955760
206,206,2022-10-28 04:31:00,6,1666956660
207,207,2022-10-28 04:46:00,6,1666957560
208,208,2022-10-28 05:01:00,7,1666958460
209,209,2022-10-28 05:16:00,6,1666959360
210,210,2022-10-28 05:31:00,6,1666960260
211,211,2022-10-28 05:46:00,6,1666961160
212,212,2022-10-28 06:01:00,6,1666962060
213,213,2022-10-28 06:16:00,6,1666962960
214,214,2022-10-28 06:31:00,6,1666963860
215,215,2022-10-28 06:46:00,6,1666964760
216,216,2022-10-28 07:01:00,6,1666965660
217,217,2022-10-28 07:16:00,6,1666966560
218,218,2022-10-28 07:31:00,6,1666967460
219,219,2022-10-28 07:46:00,7,1666968360
220,220,2022-10-28 08:01:00,7,1666969260
221,221,2022-10-28 08:16:00,6,1666970160
222,222,2022-10-28 08:31:00,6,1666971060
223,223,2022-10-28 08:46:00,6,1666971960
224,224,2022-10-28 09:01:00,9,1666972860
225,225,2022-10-28 09:16:00,9,1666973760
226,226,2022-10-28 09:31:00,11,1666974660
227,227,2022-10-28 09:46:00,11,1666975560
228,228,2022-10-28 10:01:00,13,1666976460
229,229,2022-10-28 10:16:00,13,1666977360
230,230,2022-10-28 10:31:00,12,1666978260
231,231,2022-10-28 10:46:00,12,1666979160
232,232,2022-10-28 11:01:00,12,1666980060
233,233,2022-10-28 11:16:00,12,1666980960
234,234,2022-10-28 11:31:00,12,1666981860
235,235,2022-10-28 11:46:00,12,1666982760
236,236,2022-10-28 12:01:00,12,1666983660
237,237,2022-10-28 12:16:00,12,1666984560
238,238,2022-10-28 12:31:00,12,1666985460
239,239,2022-10-28 13:01:00,12,1666987260
240,240,2022-10-28 13:16:00,12,1666988160
241,241,2022-10-28 13:31:00,12,1666989060
242,242,2022-10-28 13:46:00,7,1666989960
243,243,2022-10-28 14:01:00,7,1666990860
244,244,2022-10-28 14:16:00,7,1666991760
245,245,2022-10-28 14:31:00,7,1666992660
246,246,2022-10-28 14:46:00,6,1666993560
247,247,2022-10-28 15:01:00,6,1666994460
248,248,2022-10-28 15:16:00,6,1666995360
249,249,2022-10-28 15:31:00,6,1666996260
250,250,2022-10-28 15:46:00,6,1666997160
251,251,2022-10-28 16:01:00,5,1666998060
252,252,2022-10-28 16:16:00,8,1666998960
253,253,2022-10-28 16:31:00,8,1666999860
254,254,2022-10-28 16:46:00,10,1667000760
255,255,2022-10-28 17:01:00,10,1667001660
256,256,2022-10-28 17:16:00,10,1667002560
257,257,2022-10-28 17:31:00,13,1667003460
258,258,2022-10-28 17:46:00,5,1667004360
259,259,2022-10-28 18:01:00,5,1667005260
260,260,2022-10-28 18:16:00,5,1667006160
261,261,2022-10-28 18:31:00,5,1667007060
262,262,2022-10-28 18:46:00,5,1667007960
263,263,2022-10-28 19:01:00,8,1667008860
264,264,2022-10-28 19:16:00,6,1667009760
265,265,2022-10-28 19:31:00,6,1667010660
266,266,2022-10-28 19:46:00,6,1667011560
267,267,2022-10-28 20:01:00,6,1667012460
268,268,2022-10-28 20:16:00,6,1667013360
269,269,2022-10-28 20:31:00,6,1667014260
270,270,2022-10-28 20:46:00,5,1667015160
271,271,2022-10-28 21:01:00,5,1667016060
272,272,2022-10-28 21:16:00,5,1667016960
273,273,2022-10-28 21:31:00,6,1667017860
274,274,2022-10-28 21:46:00,6,1667018760
275,275,2022-10-28 22:01:00,8,1667019660
276,276,2022-10-28 22:16:00,8,1667020560
277,277,2022-10-28 22:31:00,5,1667021460
278,278,2022-10-28 22:46:00,5,1667022360
279,279,2022-10-28 23:01:00,5,1667023260
280,280,2022-10-28 23:16:00,5,1667024160
281,281,2022-10-28 23:31:00,5,1667025060
282,282,2022-10-28 23:46:00,7,1667025960
283,283,2022-10-29 00:01:00,7,1667026860
284,284,2022-10-29 00:16:00,7,1667027760
285,285,2022-10-29 00:31:00,5,1667028660
286,286,2022-10-29 00:46:00,5,1667029560
287,287,2022-10-29 01:01:00,8,1667030460
288,288,2022-10-29 01:16:00,8,1667031360
289,289,2022-10-29 01:31:00,9,1667032260
290,290,2022-10-29 01:46:00,14,1667033160
291,291,2022-10-29 02:01:00,14,1667034060
292,292,2022-10-29 02:16:00,9,1667034960
293,293,2022-10-29 02:31:00,9,1667035860
294,294,2022-10-29 02:46:00,9,1667036760
295,295,2022-10-29 03:01:00,7,1667037660
296,296,2022-10-29 03:16:00,7,1667038560
297,297,2022-10-29 03:31:00,7,1667039460
298,298,2022-10-29 03:46:00,7,1667040360
299,299,2022-10-29 04:01:00,7,1667041260
300,300,2022-10-29 04:16:00,7,1667042160
301,301,2022-10-29 04:31:00,7,1667043060
302,302,2022-10-29 04:46:00,7,1667043960
303,303,2022-10-29 05:01:00,5,1667044860
304,304,2022-10-29 05:16:00,6,1667045760
305,305,2022-10-29 05:31:00,6,1667046660
306,306,2022-10-29 05:46:00,6,1667047560
307,307,2022-10-29 06:01:00,6,1667048460
308,308,2022-10-29 06:16:00,6,1667049360
309,309,2022-10-29 06:31:00,5,1667050260
310,310,2022-10-29 06:46:00,6,1667051160
311,311,2022-10-29 07:01:00,6,1667052060
312,312,2022-10-29 07:16:00,6,1667052960
313,313,2022-10-29 07:31:00,6,1667053860
314,314,2022-10-29 07:46:00,6,1667054760
315,315,2022-10-29 08:01:00,6,1667055660
316,316,2022-10-29 08:16:00,6,1667056560
317,317,2022-10-29 08:31:00,6,1667057460
318,318,2022-10-29 08:46:00,7,1667058360
319,319,2022-10-29 09:01:00,7,1667059260
320,320,2022-10-29 09:16:00,10,1667060160
321,321,2022-10-29 09:31:00,10,1667061060
322,322,2022-10-29 09:46:00,10,1667061960
323,323,2022-10-29 10:01:00,10,1667062860
324,324,2022-10-29 10:16:00,10,1667063760
325,325,2022-10-29 10:31:00,6,1667064660
326,326,2022-10-29 10:46:00,6,1667065560
327,327,2022-10-29 11:01:00,6,1667066460
328,328,2022-10-29 11:16:00,6,1667067360
329,329,2022-10-29 11:31:00,6,1667068260
330,330,2022-10-29 12:31:00,6,1667071860
331,331,2022-10-29 12:46:00,6,1667072760
332,332,2022-10-29 13:01:00,6,1667073660
333,333,2022-10-29 13:16:00,6,1667074560
334,334,2022-10-29 13:31:00,6,1667075460
335,335,2022-10-29 13:46:00,15,1667076360
336,336,2022-10-29 14:01:00,15,1667077260
337,337,2022-10-29 14:16:00,15,1667078160
338,338,2022-10-29 14:31:00,15,1667079060
339,339,2022-10-29 14:46:00,14,1667079960
340,340,2022-10-29 15:01:00,14,1667080860
341,341,2022-10-29 15:16:00,14,1667081760
342,342,2022-10-29 15:31:00,16,1667082660
343,343,2022-10-29 15:46:00,16,1667083560
344,344,2022-10-29 16:01:00,25,1667084460
345,345,2022-10-29 16:16:00,30,1667085360
346,346,2022-10-29 16:31:00,30,1667086260
347,347,2022-10-29 16:46:00,27,1667087160
348,348,2022-10-29 17:01:00,27,1667088060
349,349,2022-10-29 17:16:00,27,1667088960
350,350,2022-10-29 17:31:00,13,1667089860
351,351,2022-10-29 17:46:00,11,1667090760
352,352,2022-10-29 18:01:00,11,1667091660
353,353,2022-10-29 18:16:00,11,1667092560
354,354,2022-10-29 18:31:00,14,1667093460
355,355,2022-10-29 18:46:00,14,1667094360
356,356,2022-10-29 19:01:00,23,1667095260
357,357,2022-10-29 19:16:00,23,1667096160
358,358,2022-10-29 19:31:00,23,1667097060
359,359,2022-10-29 19:46:00,23,1667097960
360,360,2022-10-29 20:01:00,25,1667098860
361,361,2022-10-29 20:16:00,29,1667099760
362,362,2022-10-29 20:31:00,29,1667100660
363,363,2022-10-29 20:46:00,29,1667101560
364,364,2022-10-29 21:01:00,27,1667102460
365,365,2022-10-29 21:16:00,27,1667103360
366,366,2022-10-29 21:31:00,27,1667104260
367,367,2022-10-29 21:46:00,27,1667105160
368,368,2022-10-29 22:01:00,29,1667106060
369,369,2022-10-29 22:16:00,37,1667106960
370,370,2022-10-29 22:31:00,37,1667107860
371,371,2022-10-29 22:46:00,37,1667108760
372,372,2022-10-29 23:01:00,37,1667109660
373,373,2022-10-29 23:16:00,44,1667110560
374,374,2022-10-29 23:31:00,44,1667111460
375,375,2022-10-29 23:46:00,44,1667112360
376,376,2022-10-30 00:01:00,44,1667113260
377,377,2022-10-30 00:16:00,32,1667114160
378,378,2022-10-30 00:31:00,40,1667115060
379,379,2022-10-30 00:46:00,40,1667115960
380,380,2022-10-30 01:01:00,35,1667116860
381,381,2022-10-30 01:16:00,35,1667117760
382,382,2022-10-30 01:31:00,32,1667118660
383,383,2022-10-30 01:46:00,32,1667119560
384,384,2022-10-30 02:01:00,34,1667120460
385,385,2022-10-30 02:16:00,34,1667121360
386,386,2022-10-30 02:31:00,34,1667122260
387,387,2022-10-30 02:46:00,21,1667123160
388,388,2022-10-30 03:01:00,21,1667124060
389,389,2022-10-30 03:16:00,21,1667124960
390,390,2022-10-30 03:31:00,14,1667125860
391,391,2022-10-30 03:46:00,14,1667126760
392,392,2022-10-30 04:01:00,14,1667127660
393,393,2022-10-30 04:16:00,14,1667128560
394,394,2022-10-30 04:31:00,20,1667129460
395,395,2022-10-30 04:46:00,20,1667130360
396,396,2022-10-30 05:01:00,11,1667131260
397,397,2022-10-30 05:16:00,12,1667132160
398,398,2022-10-30 05:31:00,12,1667133060
399,399,2022-10-30 05:46:00,12,1667133960
400,400,2022-10-30 06:01:00,17,1667134860
401,401,2022-10-30 06:16:00,17,1667135760
402,402,2022-10-30 06:31:00,6,1667136660
403,403,2022-10-30 06:46:00,9,1667137560
404,404,2022-10-30 07:01:00,9,1667138460
405,405,2022-10-30 07:16:00,9,1667139360
406,406,2022-10-30 07:31:00,17,1667140260
407,407,2022-10-30 07:46:00,30,1667141160
408,408,2022-10-30 08:01:00,30,1667142060
409,409,2022-10-30 08:16:00,28,1667142960
410,410,2022-10-30 08:31:00,28,1667143860
411,411,2022-10-30 08:46:00,28,1667144760
412,412,2022-10-30 09:01:00,28,1667145660
413,413,2022-10-30 09:16:00,31,1667146560
414,414,2022-10-30 09:31:00,31,1667147460
415,415,2022-10-30 09:46:00,31,1667148360
416,416,2022-10-30 10:01:00,37,1667149260
417,417,2022-10-30 10:16:00,41,1667150160
418,418,2022-10-30 10:31:00,41,1667151060
419,419,2022-10-30 10:46:00,41,1667151960
420,420,2022-10-30 11:01:00,41,1667152860
421,421,2022-10-30 11:16:00,41,1667153760
422,422,2022-10-30 11:31:00,41,1667154660
423,423,2022-10-30 11:46:00,41,1667155560
424,424,2022-10-30 12:01:00,41,1667156460
425,425,2022-10-30 12:16:00,41,1667157360
426,426,2022-10-30 12:31:00,41,1667158260
427,427,2022-10-30 12:46:00,41,1667159160
428,428,2022-10-30 13:01:00,41,1667160060
429,429,2022-10-30 13:16:00,41,1667160960
430,430,2022-10-30 13:31:00,41,1667161860
431,431,2022-10-30 13:46:00,41,1667162760
